조회권역코드,조회권역명,수집일시_UTC,dcls_month,fin_co_no,kor_co_nm,fin_prdt_cd,fin_prdt_nm,join_way,mtrt_int,spcl_cnd,join_deny,join_member,etc_note,max_limit,dcls_strt_day,dcls_end_day,fin_co_subm_day,intr_rate_type,intr_rate_type_nm,rsrv_type,rsrv_type_nm,save_trm,intr_rate,intr_rate2
020000,은행,2026-08-31T05:51:56+00:00,202608,0010024,경남은행,21001199,BNK 위더스자유적금,"영업점,인터넷,스마트폰,기타","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","①ESG 실천 우대금리 1.00%
②신규고객 우대금리 1.00%
- 당행 1년 이내예적금(청약포함)신규해지 이력미보유
③마케팅동의우대금리 0.50%",1,실명의 개인 및 개인사업자,"1.계약기간은 1개월 이상 36개월 이하 월단위로 한다.
2..1인 1계좌로 가입가능
2.매월 최소 1만원 이상, 최고 월 100만원 이하 (천원 단위)",1000000,20260820,99991231,202608201143,S,단리,F,자유적립식,1,1.45,3.95
020000,은행,2026-08-31T05:51:56+00:00,202608,0010024,경남은행,21001199,BNK 위더스자유적금,"영업점,인터넷,스마트폰,기타","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","①ESG 실천 우대금리 1.00%
②신규고객 우대금리 1.00%
- 당행 1년 이내예적금(청약포함)신규해지 이력미보유
③마케팅동의우대금리 0.50%",1,실명의 개인 및 개인사업자,"1.계약기간은 1개월 이상 36개월 이하 월단위로 한다.
2..1인 1계좌로 가입가능
2.매월 최소 1만원 이상, 최고 월 100만원 이하 (천원 단위)",1000000,20260820,99991231,202608201143,S,단리,F,자유적립식,6,2,4.5
020000,은행,2026-08-31T05:51:56+00:00,202608,0010024,경남은행,21001199,BNK 위더스자유적금,"영업점,인터넷,스마트폰,기타","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","①ESG 실천 우대금리 1.00%
②신규고객 우대금리 1.00%
- 당행 1년 이내예적금(청약포함)신규해지 이력미보유
③마케팅동의우대금리 0.50%",1,실명의 개인 및 개인사업자,"1.계약기간은 1개월 이상 36개월 이하 월단위로 한다.
2..1인 1계좌로 가입가능
2.매월 최소 1만원 이상, 최고 월 100만원 이하 (천원 단위)",1000000,20260820,99991231,202608201143,S,단리,F,자유적립식,12,2.3,4.8
020000,은행,2026-08-31T05:51:56+00:00,202608,0010024,경남은행,21001199,BNK 위더스자유적금,"영업점,인터넷,스마트폰,기타","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","①ESG 실천 우대금리 1.00%
②신규고객 우대금리 1.00%
- 당행 1년 이내예적금(청약포함)신규해지 이력미보유
③마케팅동의우대금리 0.50%",1,실명의 개인 및 개인사업자,"1.계약기간은 1개월 이상 36개월 이하 월단위로 한다.
2..1인 1계좌로 가입가능
2.매월 최소 1만원 이상, 최고 월 100만원 이하 (천원 단위)",1000000,20260820,99991231,202608201143,S,단리,F,자유적립식,24,2.3,4.8
020000,은행,2026-08-31T05:51:56+00:00,202608,0010024,경남은행,21001199,BNK 위더스자유적금,"영업점,인터넷,스마트폰,기타","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","①ESG 실천 우대금리 1.00%
②신규고객 우대금리 1.00%
- 당행 1년 이내예적금(청약포함)신규해지 이력미보유
③마케팅동의우대금리 0.50%",1,실명의 개인 및 개인사업자,"1.계약기간은 1개월 이상 36개월 이하 월단위로 한다.
2..1인 1계좌로 가입가능
2.매월 최소 1만원 이상, 최고 월 100만원 이하 (천원 단위)",1000000,20260820,99991231,202608201143,S,단리,F,자유적립식,36,2.3,4.8
020000,은행,2026-08-31T05:51:56+00:00,202608,0010024,경남은행,21001116,BNK더조은자유적금,"인터넷,스마트폰","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","①오픈뱅킹서비스 가입 0.10%(만기까지 유지)
②당행 입출금통장에서 자동이체시 입금건별 0.10%
③이 상품 신규시 금리우대쿠폰을 등록할 경우 0.30%
④마케팅동의 0.20%",1,"거래대상자는 제한을 두지 아니한다. 다만, 국가 및 지방자치단체는 이 예금을 거래할 수 없다.","1. 계약기간은 6개월 이상 2년 이내 월단위로 한다.
2. 초입금 1만원 이상 월별 500만원 이내에서 자유롭게 저축
3. 최대 저축횟수는 999회 이내",5000000,20260820,99991231,202608201143,S,단리,F,자유적립식,6,3.1,3.8
020000,은행,2026-08-31T05:51:56+00:00,202608,0010024,경남은행,21001116,BNK더조은자유적금,"인터넷,스마트폰","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","①오픈뱅킹서비스 가입 0.10%(만기까지 유지)
②당행 입출금통장에서 자동이체시 입금건별 0.10%
③이 상품 신규시 금리우대쿠폰을 등록할 경우 0.30%
④마케팅동의 0.20%",1,"거래대상자는 제한을 두지 아니한다. 다만, 국가 및 지방자치단체는 이 예금을 거래할 수 없다.","1. 계약기간은 6개월 이상 2년 이내 월단위로 한다.
2. 초입금 1만원 이상 월별 500만원 이내에서 자유롭게 저축
3. 최대 저축횟수는 999회 이내",5000000,20260820,99991231,202608201143,S,단리,F,자유적립식,12,3.2,3.9
020000,은행,2026-08-31T05:51:56+00:00,202608,0010024,경남은행,21001116,BNK더조은자유적금,"인터넷,스마트폰","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","①오픈뱅킹서비스 가입 0.10%(만기까지 유지)
②당행 입출금통장에서 자동이체시 입금건별 0.10%
③이 상품 신규시 금리우대쿠폰을 등록할 경우 0.30%
④마케팅동의 0.20%",1,"거래대상자는 제한을 두지 아니한다. 다만, 국가 및 지방자치단체는 이 예금을 거래할 수 없다.","1. 계약기간은 6개월 이상 2년 이내 월단위로 한다.
2. 초입금 1만원 이상 월별 500만원 이내에서 자유롭게 저축
3. 최대 저축횟수는 999회 이내",5000000,20260820,99991231,202608201143,S,단리,F,자유적립식,24,3.2,3.9
020000,은행,2026-08-31T05:51:56+00:00,202608,0010024,경남은행,21001259,오늘도세이브적금,"인터넷,스마트폰,기타","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","①마케팅동의 0.25%
②목돈마련 축하이율 0.50~1.50%",1,실명의 개인 및 개인사업자,"1. 계약기간은 3개월 이상 6개월 이내 월단위로 한다.
2. 초입금 일 1천원 이상 10만원 이하 자유롭게 저축
3. 최대 저축횟수는 999회 이내",100000,20260820,20261231,202608201143,S,단리,F,자유적립식,3,2.75,4.5
020000,은행,2026-08-31T05:51:56+00:00,202608,0010024,경남은행,21001259,오늘도세이브적금,"인터넷,스마트폰,기타","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","①마케팅동의 0.25%
②목돈마련 축하이율 0.50~1.50%",1,실명의 개인 및 개인사업자,"1. 계약기간은 3개월 이상 6개월 이내 월단위로 한다.
2. 초입금 일 1천원 이상 10만원 이하 자유롭게 저축
3. 최대 저축횟수는 999회 이내",100000,20260820,20261231,202608201143,S,단리,F,자유적립식,6,2.75,4.5
020000,은행,2026-08-31T05:51:56+00:00,202608,0010024,경남은행,21001292,"오면우대! 하면우대!
정기적금","영업점,인터넷,스마트폰","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","신규고객
①적금가입시3.0%
②상품가입 전 마케팅동의시0.1%
③이 적금 신규월 포함 3개월 동안 10만원 이상 경남은행 카드 대금결제시2.0%
기존고객
①급여 또는 연금입금시1.5%
②공과금 자동이체시 2.0%
③경남은행 카드이용시(8회이상&10만원이상 카드대금 결제보유)1.5%
④상품가입 전 마케팅동의시0.1%",1,실명의 개인,"1.계악기간은 1년제로 한다.
2. 적립금액은 매월 10만원이상, 50만원 이하(1만원 이상)",500000,20260820,99991231,202608201143,S,단리,S,정액적립식,12,1.9,7
020000,은행,2026-08-31T05:51:56+00:00,202608,0010024,경남은행,21001236,주거래 프리미엄 적금,"영업점,인터넷,스마트폰","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","①주거래우대 0.5%
②공과금 자동이체 0.4~0.6%
③신규고객 0.2%
④주택청약종합저축 보유 0.1%
⑤ 전자명함을 통한 신규 시 0.2%",1,실명의 개인 및 개인사업자,"1.계악기간은 1년제, 2년제, 3년제로 한다.
2. 적립금액은 매월 1만원이상, 최고금액은 제한없음",999999999,20260820,99991231,202608201143,S,단리,S,정액적립식,12,2.7,4.3
